,UKPRN,normalised_name,common_name,STREET_NAME,TOWN,POSTCODE,WEBSITE_URL,longitude,latitude,top_level_web_domain,region
57,10001726.0,COVENTRY UNIVERSITY,Coventry University,PRIORY STREET,COVENTRY,CV1 5FB,http://www.coventry.ac.uk/,-1.5057129999999999,52.408015999999996,coventry.ac.uk,West Midlands
58,10007155.0,UNIVERSITY OF PORTSMOUTH,University of Portsmouth,WINSTON CHURCHILL AVENUE,PORTSMOUTH,PO1 2UP,http://www.port.ac.uk/,-1.0935709999999998,50.795266,port.ac.uk,South East
59,10040812.0,HARPER ADAMS UNIVERSITY,Harper Adams University,,Newport,TF10 8NB,http://www.harper-adams.ac.uk/,-2.42538,52.780018999999996,harper-adams.ac.uk,West Midlands
60,10034449.0,LEEDS COLLEGE OF MUSIC,Leeds College of Music,QUARRY HILL,LEEDS,LS2 7PD,http://www.lcm.ac.uk/,-1.531256,53.798246,lcm.ac.uk,Yorkshire and The Humber
61,10002681.0,GLASGOW SCHOOL OF ART.,Glasgow School of Art,RENFREW STREET,GLASGOW,G3 6RQ,http://www.gsa.ac.uk/,-4.263391,55.865953000000005,gsa.ac.uk,Scotland
62,10007856.0,PRIFYSGOL ABERYSTWYTH,Prifysgol Aberystwyth,,ABERYSTWYTH,SY23 2AX,http://www.aber.ac.uk/,-4.043595,52.403488,aber.ac.uk,Wales
63,10003614.0,UNIVERSITY OF WINCHESTER,University of Winchester,SPARKFORD ROAD,WINCHESTER,SO22 4NR,http://www.winchester.ac.uk/,-1.326928,51.060033000000004,winchester.ac.uk,South East
64,10007801.0,PLYMOUTH UNIVERSITY,University of Plymouth,DRAKE CIRCUS,PLYMOUTH,PL4 8AA,http://www.plymouth.ac.uk/,-4.138393,50.375186,plymouth.ac.uk,South West
65,10007789.0,UNIVERSITY OF EAST ANGLIA,University of East Anglia,EARLHAM ROAD,NORWICH,NR4 7TJ,http://www.uea.ac.uk/,1.2414120000000002,52.62239399999999,uea.ac.uk,Eastern
66,10007786.0,UNIVERSITY OF BRISTOL,University of Bristol,TYNDALL AVENUE,BRISTOL,BS8 1TH,http://www.bristol.ac.uk/,-2.6032919999999997,51.459064,bristol.ac.uk,South West
67,10007803.0,UNIVERSITY OF ST ANDREWS,University of St Andrews,NORTH STREET,ST. ANDREWS,KY16 9AJ,http://www.st-andrews.ac.uk/,-2.793016,56.341205,st-andrews.ac.uk,Scotland
68,10006841.0,UNIVERSITY OF BOLTON,The University of Bolton,DEANE ROAD,BOLTON,BL3 5AB,http://www.bolton.ac.uk/,-2.436236,53.573527,bolton.ac.uk,North West
69,10005337.0,"QUEEN MARGARET UNIVERSITY, EDINBURGH","Queen Margaret University, Edinburgh",QUEEN MARGARET UNIVERSITY DRIVE,MUSSELBURGH,EH21 6UU,http://www.qmu.ac.uk/,-3.0730619999999997,55.931304000000004,qmu.ac.uk,Scotland
70,10007807.0,UNIVERSITY OF ULSTER,University of Ulster,CROMORE ROAD,COLERAINE,BT52 1SA,http://www.ulster.ac.uk/,-6.6725,55.1468,ulster.ac.uk,Northern Ireland
71,10007163.0,UNIVERSITY OF WARWICK,University of Warwick,GIBBET HILL ROAD,COVENTRY,CV4 7AL,http://www.warwick.ac.uk/,-1.561687,52.380078999999995,warwick.ac.uk,West Midlands
72,10007138.0,"UNIVERSITY OF NORTHAMPTON,THE",The University of Northampton,BOUGHTON GREEN ROAD,NORTHAMPTON,NN2 7AL,http://www.northampton.ac.uk/,-0.883074,52.272007,northampton.ac.uk,East Midlands
73,10007796.0,UNIVERSITY OF LEICESTER,University of Leicester,UNIVERSITY ROAD,LEICESTER,LE1 7RH,http://www.le.ac.uk/,-1.123802,52.621937,le.ac.uk,East Midlands
74,10000712.0,UNIVERSITY COLLEGE BIRMINGHAM,University College Birmingham,SUMMER ROW,BIRMINGHAM,B3 1JB,http://www.ucb.ac.uk/,-1.905934,52.481855,ucb.ac.uk,West Midlands
75,10007762.0,GLASGOW CALEDONIAN UNIVERSITY,Glasgow Caledonian University,COWCADDENS ROAD,GLASGOW,G4 0BA,http://www.gcu.ac.uk/,-4.250553,55.866161,gcu.ac.uk,Scotland
76,10007165.0,THE UNIVERSITY OF WESTMINSTER,The University of Westminster,REGENT STREET,LONDON,W1B 2HW,http://www.westminster.ac.uk/,-0.143341,51.516794,westminster.ac.uk,London
77,10007148.0,UNIVERSITY OF HUDDERSFIELD,University of Huddersfield,QUEENSGATE,HUDDERSFIELD,HD1 3DH,http://www.hud.ac.uk/,-1.777712,53.643730000000005,hud.ac.uk,Yorkshire and The Humber
78,10005545.0,ROYAL AGRICULTURAL UNIVERSITY,Royal Agricultural College,Stroud Road,Cirencester,GL7 6JS,http://www.rac.ac.uk/,-1.994995,51.709495000000004,rac.ac.uk,South West
79,10007765.0,HEYTHROP COLLEGE,Heythrop College,KENSINGTON SQUARE,LONDON,W8 5HN,http://www.heythrop.ac.uk/,-0.190884,51.499884,heythrop.ac.uk,
80,10007838.0,ROYAL WELSH COLLEGE OF MUSIC AND DRAMA LIMITED,Royal Welsh College of Music and Drama Limited,NORTH ROAD,CARDIFF,CF10 3ER,http://www.rwcmd.ac.uk/,-3.183865,51.485645,rwcmd.ac.uk,
81,10005523.0,ROSE BRUFORD COLLEGE,Rose Bruford College,Lamorbey Park Burnt Oak Lane,Sidcup,DA15 9DF,http://www.bruford.ac.uk/,0.106805,51.439004,bruford.ac.uk,London
82,10007156.0,"UNIVERSITY OF SALFORD, THE",University of Salford,CRESCENT,SALFORD,M5 4WT,http://www.salford.ac.uk/,-2.270665,53.483557999999995,salford.ac.uk,North West
