UKPRN,HE Provider,2 UK-based charities (open competitive process),3 UK based charities (other),"4 UK central government bodies/local authorities, health and hospital authorities",5 UK central government tax credits for research and development expenditure,"6 UK industry, commerce and public corporations",7 UK other sources,8 EU government bodies,9 EU-based charities (open competitive process),"10 EU industry, commerce and public corporations",11 EU (excluding UK) other,12 Non-EU-based charities (open competitive process),"13 Non-EU industry, commerce and public corporations",14 Non-EU other,15 Total
10007783,The University of Aberdeen,3620,610,8460,0,434,73,705,74,118,61,0,1089,36,16791
10007849,University of Abertay Dundee,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007856,Aberystwyth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000163,AECC University College,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000291,Anglia Ruskin University,19,0,113,0,100,0,19,0,0,0,14,36,14,315
10007759,Aston University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007857,Bangor University,233,0,54,0,0,44,12,0,0,0,0,0,0,343
10000571,Bath Spa University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007850,The University of Bath,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007152,University of Bedfordshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005343,Queen's University Belfast,9731,50,10611,0,741,0,2854,26,476,28,116,89,356,30214
10007760,Birkbeck College,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007140,Birmingham City University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006840,The University of Birmingham,15923,4427,15583,0,1899,205,2780,347,483,68,256,1893,70,52100
10000712,University College Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007811,Bishop Grosseteste University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006841,The University of Bolton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000385,The Arts University Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000824,Bournemouth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007785,The University of Bradford,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000886,The University of Brighton,391,0,768,0,96,0,179,0,0,0,0,0,52,1753
10000936,The University College of Osteopathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007786,The University of Bristol,9416,0,14992,0,161,733,1682,115,65,351,583,304,1358,40052
10000961,Brunel University London,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000975,Buckinghamshire New University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007787,The University of Buckingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007788,The University of Cambridge,84347,4357,35306,0,4278,300,11235,269,747,224,4663,2115,10396,209543
10003324,The Institute of Cancer Research,14509,-41,6037,0,1155,0,670,0,1149,186,341,1362,333,27257
10001143,Canterbury Christ Church University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007814,Cardiff University,11775,285,11820,0,823,104,1394,41,177,97,1906,562,576,37299
10007854,Cardiff Metropolitan University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007141,The University of Central Lancashire,18,0,126,0,0,7,0,0,0,42,0,0,0,193
10007848,University of Chester,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007137,The University of Chichester,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10001478,"City, University of London",0,0,0,0,0,0,0,0,0,0,0,0,0,0
10001653,Conservatoire for Dance and Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007761,Courtauld Institute of Art,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10001726,Coventry University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007822,Cranfield University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006427,University for the Creative Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007842,University of Cumbria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10001883,De Montfort University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007851,University of Derby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007852,The University of Dundee,4077,378,4550,230,989,37,1041,143,5766,15,113,703,75,19641
10007143,University of Durham,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007789,The University of East Anglia,806,37,2872,0,23,18,59,0,306,46,0,-3,25,4856
10007144,The University of East London,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007823,Edge Hill University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007772,Edinburgh Napier University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007790,The University of Edinburgh,32010,113,14782,0,2627,2945,6917,146,2492,398,1031,1233,1624,96880
10007791,The University of Essex,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007792,The University of Exeter,1905,1919,5944,0,436,132,1923,24,73,27,324,31,1141,16908
