,UKPRN,HE Provider,1a Biotechnology and Biological Sciences Research Council (BBSRC),1b Medical Research Council (MRC),1c Natural Environment Research Council (NERC),1d Engineering and Physical Sciences Research Council (EPSRC),1e Economic and Social Research Council (ESRC),1f Arts & Humanities Research Council (AHRC),1g Science & Technology Facilities Council (STFC),1h Other,1i Total Research Councils,"10 EU industry, commerce and public corporations",11 EU (excluding UK) other,12 Non-EU-based charities (open competitive process),"13 Non-EU industry, commerce and public corporations",14 Non-EU other,15 Total,2 UK-based charities (open competitive process),3 UK based charities (other),"4 UK central government bodies/local authorities, health and hospital authorities",5 UK central government tax credits for research and development expenditure,"6 UK industry, commerce and public corporations",7 UK other sources,8 EU government bodies,9 EU-based charities (open competitive process),total_£000s,total_%,region
0,10007783,The University of Aberdeen,208,1154,65,6,77,0,0,1,1511,118,61,0,1089,36,16791,3620,610,8460,0,434,73,705,74,18302,0.737224351524941,Scotland
1,10007849,University of Abertay Dundee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Scotland
2,10007856,Aberystwyth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Wales
3,10000163,AECC University College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,South West
4,10000291,Anglia Ruskin University,0,0,0,0,0,0,0,0,0,0,0,14,36,14,315,19,0,113,0,100,0,19,0,315,0.01268854063656193,Eastern
5,10007759,Aston University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,West Midlands
6,10007857,Bangor University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,233,0,54,0,0,44,12,0,343,0.013816410915367432,Wales
7,10000571,Bath Spa University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,South West
8,10007850,The University of Bath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,South West
9,10007152,University of Bedfordshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Eastern
10,10005343,Queen's University Belfast,693,2903,0,0,1416,0,0,124,5136,476,28,116,89,356,30214,9731,50,10611,0,741,0,2854,26,35350,1.4239362269919498,Northern Ireland
11,10007760,Birkbeck College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,London
12,10007140,Birmingham City University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,West Midlands
13,10006840,The University of Birmingham,1367,6497,23,70,16,91,0,102,8166,483,68,256,1893,70,52100,15923,4427,15583,0,1899,205,2780,347,60266,2.4275796508033056,West Midlands
14,10000712,University College Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,West Midlands
15,10007811,Bishop Grosseteste University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,East Midlands
16,10006841,The University of Bolton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,North West
17,10000385,The Arts University Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,South West
18,10000824,Bournemouth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,South West
19,10007785,The University of Bradford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Yorkshire and The Humber
20,10000886,The University of Brighton,174,31,0,12,50,0,0,0,267,0,0,0,0,52,1753,391,0,768,0,96,0,179,0,2020,0.08136778439953998,South East
21,10000936,The University College of Osteopathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,London
