UKPRN,HE Provider,1a Biotechnology and Biological Sciences Research Council (BBSRC),1b Medical Research Council (MRC),1c Natural Environment Research Council (NERC),1d Engineering and Physical Sciences Research Council (EPSRC),1e Economic and Social Research Council (ESRC),1f Arts & Humanities Research Council (AHRC),1g Science & Technology Facilities Council (STFC),1h Other,1i Total Research Councils
10008640,Falmouth University,0,0,0,0,0,0,0,0,0
10004511,The National Film and Television School,0,0,0,0,0,0,0,0,0
10007762,Glasgow Caledonian University,0,0,0,0,0,0,0,0,0
10002681,Glasgow School of Art,0,0,0,0,0,0,0,0,0
10007794,The University of Glasgow,1164,18270,0,317,190,4,0,126,20071
10007145,University of Gloucestershire,0,0,0,0,0,0,0,0,0
10007833,GlyndÅµr University,0,0,0,0,0,0,0,0,0
10002718,Goldsmiths College,0,0,0,0,0,0,0,0,0
10007146,The University of Greenwich,0,0,0,0,0,0,0,0,0
10007825,Guildhall School of Music and Drama,0,0,0,0,0,0,0,0,0
10040812,Harper Adams University,0,0,0,0,0,0,0,0,0
10007764,Heriot-Watt University,0,0,0,0,0,0,0,0,0
10007147,University of Hertfordshire,0,0,0,0,0,0,0,0,0
10007765,Heythrop College,0,0,0,0,0,0,0,0,0
10007148,The University of Huddersfield,0,0,0,0,0,0,0,0,0
10007149,The University of Hull,-7,0,0,0,0,0,0,0,-7
10003270,"Imperial College of Science, Technology and Medicine",2441,21336,205,3093,447,66,0,157,27745
10007767,Keele University,0,85,0,32,0,0,0,0,117
10007150,The University of Kent,0,0,0,0,0,0,0,0,0
10003645,King's College London,1294,14877,0,2397,793,0,19,314,19694
10003678,Kingston University,0,0,0,0,0,0,0,0,0
10007768,The University of Lancaster,17,363,0,81,3,0,0,26,490
10003854,Leeds Arts University,0,0,0,0,0,0,0,0,0
10003861,Leeds Beckett University,0,0,0,0,0,0,0,0,0
10007795,The University of Leeds,367,2540,0,702,14,0,32,48,3703
10003863,Leeds Trinity University,0,0,0,0,0,0,0,0,0
10007796,The University of Leicester,229,2592,0,5,74,0,0,57,2957
10007151,The University of Lincoln,0,0,0,0,0,0,0,0,0
10003956,Liverpool Hope University,0,0,0,0,0,0,0,0,0
10003957,Liverpool John Moores University,0,0,0,0,0,0,0,0,0
10003945,The Liverpool Institute for Performing Arts,0,0,0,0,0,0,0,0,0
10006842,The University of Liverpool,343,2863,4,415,279,43,0,2,3949
10003958,Liverpool School of Tropical Medicine,428,6450,52,0,0,0,0,115,7045
