institution,address,latitude,longitude,region,description
The University of Edinburgh,"Teaching Studio Room 1.16, Lister Learning and Teaching Centre, University of Edinburgh",55.946934,-3.184216,Scotland,"The University of Edinburgh, Teaching Studio Room 1.16, Lister Learning and Teaching Centre, University of Edinburgh"
University of St Andrews,"Lecture Theatre 3, The Gateway, North Haugh, St Andrews, Fife, KY16 9RJ, Scotland, UK",56.341198999999996,-2.809327,Scotland,"University of St Andrews, Lecture Theatre 3, The Gateway, North Haugh, St Andrews, Fife, KY16 9RJ, Scotland, UK"
Imperial College London,"Sherfield  ICSM S309, South Kensington Campus",51.4988,-0.174877,London,"Imperial College London, Sherfield  ICSM S309, South Kensington Campus"
King's College London,"2nd Floor Borough Wing, Seminar Room A, Guy's Hospital, SE19RT",51.503356,-0.086809,London,"King's College London, 2nd Floor Borough Wing, Seminar Room A, Guy's Hospital, SE19RT"
Swansea University,"The Boardroom, Computational Foundry, Bay Campus, Swansea University",51.619229,-3.878739,Wales,"Swansea University, The Boardroom, Computational Foundry, Bay Campus, Swansea University"
R for reproducible scientific analysis - Imperial College London,"School of Medicine, SMMS 142 - Hynds computer room, St Mary's Campus",51.517548,-0.17318599999999998,London,"R for reproducible scientific analysis - Imperial College London, School of Medicine, SMMS 142 - Hynds computer room, St Mary's Campus"
UCL,"G20 cluster, Christopher Ingold Building, Gordon Street, London, UK",51.525079999999996,0.02097,London,"UCL, G20 cluster, Christopher Ingold Building, Gordon Street, London, UK"
University of Birmingham,Murray Learning Centre - LG13,52.45068727,-1.9356966,West Midlands,"University of Birmingham, Murray Learning Centre - LG13"
Heriot Watt University,TBA,55.92261,-3.26227,Scotland,"Heriot Watt University, TBA"
Earlham Institute,"Norwich Research Park, Norwich, NR4 7UZ",52.621741,1.218987,Eastern,"Earlham Institute, Norwich Research Park, Norwich, NR4 7UZ"
