institution,country_code,taught_workshops,taught_workshop_dates,domains,badges,badges_dates,airport,airport_code,airport_latitude,airport_longitude
University of Leeds,GB,"2014-11-24-leeds,2015-01-14-leeds,2015-08-26-leeds,2015-09-10-leeds,2015-10-29-Leeds-DC,2016-01-19-london-nhm,2016-01-11-huddersfield,2016-04-18-leeds,2016-09-27-milan,2016-06-27-leeds,2016-01-06-bristol,2016-01-18-leeds,2017-01-18-bristol,2017-03-30-manchester,2016-06-16-leeds,2016-06-23-leeds,2016-08-22-edinburgh,2016-08-24-edinburgh,2017-01-04-bristol,2017-05-08-leeds,2017-04-20-leeds,2017-07-13-ttt-online,2016-11-21-leeds,2017-10-30-imperial-ttt,2017-07-03-ngb-leeds,2018-04-18-ttt-leeds,2018-08-21-ttt,2017-07-19-imperial,2017-07-17-imperial,2019-09-25-ttt-leeds,2019-10-31-ttt-Imperial","2014-11-24,2015-01-14,2015-08-26,2015-09-10,2015-10-29,2016-01-19,2016-01-11,2016-04-18,2016-09-27,2016-06-27,2016-01-06,2016-01-18,2017-01-18,2017-03-30,2016-06-16,2016-06-23,2016-08-22,2016-08-24,2017-01-04,2017-05-08,2017-04-20,2017-07-13,2016-11-21,2017-10-30,2017-07-03,2018-04-18,2018-08-21,2017-07-19,2017-07-17,2019-09-25,2019-10-31","Library and information science,Education,High performance computing,Genetics, genomics, bioinformatics,Social sciences,Computer science/electrical engineering,Humanities","swc-instructor,dc-instructor","2015-08-03,2016-01-30",Leeds,LBA,53.865832999999995,-1.6605560000000001
Queen Mary University of London,GB,"2012-04-30-ucl,2012-05-14-newcastle,2012-09-13-dafx,2013-02-06-qmul","2012-04-30,2012-05-14,2012-09-13,2013-02-06",,swc-instructor,2012-12-20,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Southampton,GB,"2018-09-18-southampton-swc,2019-07-09-rslondon,2019-11-14-Imperial,2020-11-25-rslondon","2018-09-18,2019-07-09,2019-11-14,2020-11-25",,swc-instructor,2017-12-05,Southampton,SOU,50.95,-1.356667
University College London,GB,2017-10-31-UCL_software_carpentry,2017-10-31,Physics,swc-instructor,2017-07-14,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Edinburgh,GB,2012-05-14-newcastle,2012-05-14,Computer science/electrical engineering,"swc-instructor,dc-instructor","2012-12-20,2017-01-16",Edinburgh,EDI,55.95,-3.3725
The James Hutton Institute,GB,"2018-11-27-standrews,2019-09-23-standrews","2018-11-27,2019-09-23","Genetics, genomics, bioinformatics",swc-instructor,2019-08-15,Edinburgh,EDI,55.95,-3.3725
Wellcome Trust Sanger Institute,GB,,,High performance computing,swc-instructor,2015-06-12,Stansted,STN,51.885,0.235
University College London,GB,"2016-12-13-UCL_software_carpentry,2017-04-27-UCL_software_carpentry,2017-10-31-UCL_software_carpentry","2016-12-13,2017-04-27,2017-10-31","Psychology/neuroscience,Organismal biology (ecology, botany, zoology, microbiology),Genetics, genomics, bioinformatics,Medicine,Computer science/electrical engineering,Mathematics/statistics,High performance computing",swc-instructor,2017-06-08,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Liverpool,GB,"2016-01-06-bristol,2016-01-18-leeds,2016-06-29-leeds,2017-01-18-bristol","2016-01-06,2016-01-18,2016-06-29,2017-01-18","Physics,Planetary sciences (geology, climatology, oceanography, etc.),High performance computing,Mathematics/statistics",swc-instructor,2016-02-02,Manchester,MAN,53.353611,-2.274722
University of Southampton,GB,"2012-02-20-itcp,2012-05-14-newcastle,2012-10-30-oxford,2013-01-22-tum,2013-01-25-tuebingen,2013-03-07-virginia,2015-09-17-southampton,2015-12-07-eu-instructor-training,2015-12-15-Southampton,2016-05-04-instructor-training-ssi,2016-11-24-ttt-metoffice,2017-03-16-ttt-oxford,2017-02-21-online-instructor-training,2016-08-31-southampton,2016-09-19-ttt-cambridge,2017-07-13-ttt-online,2017-11-08-southampton-swc,2017-08-01-southampton-swc,2017-12-05-ttt-southampton,2018-10-09-ttt-online,2018-09-18-southampton-swc,2019-07-25-ttt-online-BST,2020-04-30-southamton-online,2020-09-08-ttt-ssi-online,2020-05-15-southamton-online,2021-03-16-ttt-online-SSI,2021-06-15-ttt-online-SSI,2021-11-30-ttt-online-SSI","2012-02-20,2012-05-14,2012-10-30,2013-01-22,2013-01-25,2013-03-07,2015-09-17,2015-12-07,2015-12-15,2016-05-04,2016-11-24,2017-03-16,2017-02-21,2016-08-31,2016-09-19,2017-07-13,2017-11-08,2017-08-01,2017-12-05,2018-10-09,2018-09-18,2019-07-25,2020-04-30,2020-09-08,2020-05-15,2021-03-16,2021-06-15,2021-11-30","High performance computing,Computer science/electrical engineering","swc-instructor,dc-instructor","2012-12-20,2017-01-16",Southampton,SOU,50.95,-1.356667
University of Sheffield,GB,,,"High performance computing,Physics,Education,Mathematics/statistics","dc-instructor,swc-instructor","2017-01-16,2015-09-02",Manchester,MAN,53.353611,-2.274722
Earlham Institute,GB,"2014-02-03-TGAC,2016-03-08-TGAC,2016-10-18-EI,2016-10-17-lincoln,2017-10-10-norwich,2017-04-26-norwich,2018-06-12-ttt-online,2018-10-08-ttt_BiXCoP,2019-09-10-ttt-online-BST,2019-10-22-ttt-colombia,2020-03-23-ttt-online-GMT,2020-03-03-earlham,2020-01-21-earlham,2020-06-30-earlham,2021-01-18-earlham,2021-03-01-earlham,2022-02-28-earlham-online,2022-01-24-earlham-online","2014-02-03,2016-03-08,2016-10-18,2016-10-17,2017-10-10,2017-04-26,2018-06-12,2018-10-08,2019-09-10,2019-10-22,2020-03-23,2020-03-03,2020-01-21,2020-06-30,2021-01-18,2021-03-01,2022-02-28,2022-01-24","High performance computing,Computer science/electrical engineering,Genetics, genomics, bioinformatics",swc-instructor,2014-11-22,Norwich,NWI,52.675833,1.282778
University of Edinburgh,GB,"2015-04-16-imperial,2015-12-14-Portsmouth,2016-02-16-EPCC,2016-03-23-Imperial,2016-06-09-Belfast,2017-05-11-edinburgh,2017-05-09-edinburgh,2016-11-02-EPCC,2017-06-01-Belfast,2017-10-16-Glasgow,2017-12-11-Imperial","2015-04-16,2015-12-14,2016-02-16,2016-03-23,2016-06-09,2017-05-11,2017-05-09,2016-11-02,2017-06-01,2017-10-16,2017-12-11","High performance computing,Computer science/electrical engineering,Physics","swc-instructor,dc-instructor","2015-02-03,2016-11-15",Edinburgh,EDI,55.95,-3.3725
Arriva Group,GB,"2012-09-13-dafx,2013-01-25-tuebingen,2013-02-06-qmul","2012-09-13,2013-01-25,2013-02-06",,swc-instructor,2013-07-20,London City,LCY,51.505,0.05416699999999999
Imperial College London,GB,"2014-02-13-UNSW,2014-02-18-UTS","2014-02-13,2014-02-18","Organismal biology (ecology, botany, zoology, microbiology)",swc-instructor,2013-07-20,London Heathrow,LHR,51.4775,-0.46138900000000005
King's College London,GB,"2020-11-18-KCL,2021-05-12-KCL-online,2021-06-09-KCL-online,2021-11-16-KCL-online,2021-11-24-KCL-online","2020-11-18,2021-05-12,2021-06-09,2021-11-16,2021-11-24","Organismal biology (ecology, botany, zoology, microbiology),High performance computing,Genetics, genomics, bioinformatics",swc-instructor,2019-10-10,,,,
University of Oxford,GB,"2012-10-30-oxford,2015-01-13-oxford,2015-10-12-cecam-julich,2017-01-09-oxford","2012-10-30,2015-01-13,2015-10-12,2017-01-09","Genetics, genomics, bioinformatics,High performance computing","dc-instructor,swc-instructor","2016-10-06,2014-10-03",London Heathrow,LHR,51.4775,-0.46138900000000005
Wellcome Trust Sanger Institute,GB,,,"High performance computing,Computer science/electrical engineering",swc-instructor,2015-07-15,Stansted,STN,51.885,0.235
Delcam Ltd,GB,,,"Mathematics/statistics,High performance computing,Physics,Education",swc-instructor,2014-10-16,Birmingham,BHX,52.453610999999995,-1.7477779999999998
Imperial College London,GB,2014-06-02-icl-geo,2014-06-02,,swc-instructor,2014-11-27,London Heathrow,LHR,51.4775,-0.46138900000000005
The Sir Alister Hardy Foundation for Ocean Science (SAHFOS),GB,2020-01-09-kcl,2020-01-09,,swc-instructor,2017-12-22,Exeter,EXT,50.734444,-3.4138889999999997
University of Southampton,GB,2016-02-05-nyas-R,2016-02-05,"Organismal biology (ecology, botany, zoology, microbiology),Mathematics/statistics","dc-instructor,swc-instructor","2017-01-16,2015-05-14",Southampton,SOU,50.95,-1.356667
University of Edinburgh,GB,"2014-12-03-edinburgh,2014-12-11-ugsupa","2014-12-03,2014-12-11",,"swc-instructor,dc-instructor","2014-11-20,2017-01-16",Edinburgh,EDI,55.95,-3.3725
University of Exeter,GB,2017-09-26-Exeter,2017-09-26,"Genetics, genomics, bioinformatics,Mathematics/statistics","dc-instructor,swc-instructor","2016-11-11,2016-11-24",Bristol,BRS,51.3825,-2.718889
Thales,GB,,,Computer science/electrical engineering,swc-instructor,2014-12-23,Manchester,MAN,53.353611,-2.274722
University of Southampton,GB,"2015-11-11-london-royal-h-,2015-12-15-Southampton","2015-11-11,2015-12-15",Space sciences,swc-instructor,2014-12-23,Southampton,SOU,50.95,-1.356667
University of Oxford,GB,,,"Genetics, genomics, bioinformatics",swc-instructor,2015-06-12,London Heathrow,LHR,51.4775,-0.46138900000000005
University College London,GB,"2013-04-04-ucl,2013-09-27-ucl,2013-10-24-greenwich,2014-02-18-UCL,2014-05-19-ucl,2015-02-25-ucl,2017-09-25-UCL_software_carpentry","2013-04-04,2013-09-27,2013-10-24,2014-02-18,2014-05-19,2015-02-25,2017-09-25","Genetics, genomics, bioinformatics,Mathematics/statistics,High performance computing,Physics,Computer science/electrical engineering","dc-instructor,swc-instructor","2016-12-01,2013-11-17",London Heathrow,LHR,51.4775,-0.46138900000000005
University of Edinburgh,GB,"2012-05-14-newcastle,2012-10-22-newcastle,2012-10-30-oxford,2012-12-04-edinburgh,2013-04-11-egi,2013-04-18-manchester,2013-07-15-bath,2013-12-03-edinburgh,2014-07-21-cranfield,2014-09-16-imperial,2014-12-03-edinburgh,2016-03-10-CDT-reg-medicine,2017-05-11-edinburgh,2017-05-09-edinburgh,2018-03-08-manchester-swc,2019-06-19-edinburgh-git","2012-05-14,2012-10-22,2012-10-30,2012-12-04,2013-04-11,2013-04-18,2013-07-15,2013-12-03,2014-07-21,2014-09-16,2014-12-03,2016-03-10,2017-05-11,2017-05-09,2018-03-08,2019-06-19","Computer science/electrical engineering,High performance computing","dc-instructor,swc-instructor","2017-02-16,2012-12-20",Edinburgh,EDI,55.95,-3.3725
,GB,2014-06-02-icl-geo,2014-06-02,"Physics,Computer science/electrical engineering,Mathematics/statistics,High performance computing,Planetary sciences (geology, climatology, oceanography, etc.)",swc-instructor,2014-10-03,Southampton,SOU,50.95,-1.356667
University of Birmingham,GB,"2019-02-18-bham,2019-06-03-bham","2019-02-18,2019-06-03","Mathematics/statistics,Chemistry,Genetics, genomics, bioinformatics",swc-instructor,2018-04-12,Birmingham,BHX,52.453610999999995,-1.7477779999999998
Climate Code Foundation,GB,2013-04-18-manchester,2013-04-18,"Genetics, genomics, bioinformatics,Planetary sciences (geology, climatology, oceanography, etc.),Computer science/electrical engineering",swc-instructor,2013-07-20,Manchester,MAN,53.353611,-2.274722
University of Edinburgh,GB,2013-12-16-dundee,2013-12-16,"Genetics, genomics, bioinformatics",swc-instructor,2015-02-06,Edinburgh,EDI,55.95,-3.3725
Kew Royal Botanic Gardens,GB,2016-05-16-royalholloway,2016-05-16,,swc-instructor,2014-12-23,London Heathrow,LHR,51.4775,-0.46138900000000005
University of St Andrews,GB,"2015-11-16-manchester-codima,2016-10-17-edinburgh,2017-03-23-standrews,2017-05-18-standrews,2018-03-20-ttt-online,2018-05-24-ttt-online,2017-12-04-standrews,2018-03-29-standrews,2018-11-05-ttt-online,2018-11-27-standrews,2018-12-10-standrews,2019-05-13-ttt-online-BST,2019-05-02-standrews,2019-05-30-standrews,2019-09-23-standrews,2020-04-30-ttt-online-BST,2020-02-20-lancaster,2020-05-28-ttt-edinburgh,2020-11-06-standrews,2021-05-07-standrews-online,2021-05-21-standrews-online","2015-11-16,2016-10-17,2017-03-23,2017-05-18,2018-03-20,2018-05-24,2017-12-04,2018-03-29,2018-11-05,2018-11-27,2018-12-10,2019-05-13,2019-05-02,2019-05-30,2019-09-23,2020-04-30,2020-02-20,2020-05-28,2020-11-06,2021-05-07,2021-05-21","Computer science/electrical engineering,Mathematics/statistics","swc-instructor,dc-instructor","2016-12-06,2016-12-06",RAF Leuchars Airport,ADX,56.3728981,-2.8684399
University College London,GB,"2014-11-17-liverpool,2015-01-13-oxford,2015-06-02-cern-lhcb,2015-11-11-london-royal-h-,2015-11-16-manchester-codima,2017-06-05-ghana,2018-01-25-swansea,2018-11-05-ttt-online","2014-11-17,2015-01-13,2015-06-02,2015-11-11,2015-11-16,2017-06-05,2018-01-25,2018-11-05",Physics,"swc-instructor,dc-instructor","2015-07-05,2017-01-16",London Gatwick,LGW,51.148056,-0.190278
University of Leeds,GB,2015-09-10-leeds,2015-09-10,"Physics,Medicine,Civil, mechanical, chemical, or nuclear engineering,Computer science/electrical engineering,Social sciences,Psychology/neuroscience,High performance computing,Space sciences",swc-instructor,2016-04-25,Leeds,LBA,53.865832999999995,-1.6605560000000001
BBC,GB,"2014-11-05-UCL,2016-02-17-UCL_software_carpentry","2014-11-05,2016-02-17","High performance computing,Computer science/electrical engineering,Mathematics/statistics","dc-instructor,swc-instructor","2016-11-15,2014-11-11",London Heathrow,LHR,51.4775,-0.46138900000000005
The Sainsbury Laboratory,GB,,,,"swc-instructor,dc-instructor","2014-11-09,2016-12-01",London Heathrow,LHR,51.4775,-0.46138900000000005
University of Durham,GB,"2012-05-14-newcastle,2012-10-22-newcastle,2013-04-29-wisc","2012-05-14,2012-10-22,2013-04-29",,swc-instructor,2013-07-20,Durham Tees Valley Airport,MME,54.509201000000004,-1.42941
University of Exeter,GB,2017-09-26-Exeter,2017-09-26,Physics,swc-instructor,2015-01-21,Bristol,BRS,51.3825,-2.718889
University of Cambridge,GB,,,,dc-instructor,2016-01-27,Stansted,STN,51.885,0.235
King's College London,GB,,,Computer science/electrical engineering,swc-instructor,2015-05-14,Birmingham,BHX,52.453610999999995,-1.7477779999999998
The University of Manchester,GB,"2014-11-10-manchester,2015-12-14-wise-uk,2015-07-22-ljubljana,2016-10-05-nottingham,2017-03-02-manchester,2017-03-30-manchester,2017-07-13-ttt-online,2017-09-04-ttt-manchester,2017-12-05-ttt-southampton,2018-01-30-ttt-online-UK,2018-03-20-ttt-online,2018-07-19-ss-dc-manchester,2018-10-09-ttt-online,2019-01-22-ttt-online-westeurope,2019-09-25-ttt-leeds,2019-10-08-ttt-manchester,2020-05-28-ttt-edinburgh,2020-05-13-sfc-online,2020-04-16-sfc-online,2020-09-08-ttt-ssi-online,2021-03-16-ttt-online-SSI,2021-06-15-ttt-online-SSI,2021-11-30-ttt-online-SSI,2021-09-21-ttt-online-CDT,2021-09-14-manchester-online","2014-11-10,2015-12-14,2015-07-20,2016-10-05,2017-03-02,2017-03-30,2017-07-13,2017-09-04,2017-12-05,2018-01-30,2018-03-20,2018-07-19,2018-10-09,2019-01-22,2019-09-25,2019-10-08,2020-05-28,2020-05-13,2020-04-16,2020-09-08,2021-03-16,2021-06-15,2021-11-30,2021-09-21,2021-09-14",Computer science/electrical engineering,"dc-instructor,swc-instructor","2016-11-15,2014-11-27",Manchester,MAN,53.353611,-2.274722
University of Leeds,GB,"2015-01-14-leeds,2015-06-15-cambridge,2015-08-26-leeds","2015-01-14,2015-06-15,2015-08-26","Physics,Planetary sciences (geology, climatology, oceanography, etc.)",swc-instructor,2014-12-13,Leeds,LBA,53.865832999999995,-1.6605560000000001
,GB,2015-11-09-culham,2015-11-09,"Physics,Space sciences,Planetary sciences (geology, climatology, oceanography, etc.),Computer science/electrical engineering,Civil, mechanical, chemical, or nuclear engineering","dc-instructor,swc-instructor","2016-11-15,2014-12-11",London Heathrow,LHR,51.4775,-0.46138900000000005
Cranfield University,GB,2020-02-10-turing,2020-02-10,,swc-instructor,2019-05-31,Luton,LTN,51.874444,-0.36833299999999997
University College London,GB,"2015-09-07-guildford,2016-02-17-UCL_software_carpentry,2016-06-22-UCL_software_carpentry,2016-12-13-UCL_software_carpentry,2016-09-22-UCL_software_carpentry,2017-04-27-UCL_software_carpentry,2018-09-26-UCL_software_carpentry,2019-10-21-swc-ntnu,2019-09-25-UCL_software_carpentry,2020-03-23-ttt-online-GMT,2020-04-06-ucl-online,2020-04-21-ucl-online,2020-09-30-UCL,2021-04-29-ttt-online-BST,2021-09-29-ucl-online","2015-09-07,2016-02-17,2016-06-22,2016-12-13,2016-09-22,2017-04-27,2018-09-26,2019-10-21,2019-09-25,2020-03-23,2020-04-06,2020-04-21,2020-09-30,2021-04-29,2021-09-29","Space sciences,Physics","dc-instructor,swc-instructor","2016-12-01,2013-11-17",London City,LCY,51.505,0.05416699999999999
,GB,"2017-05-11-edinburgh,2021-03-19-italia-online","2017-05-11,2021-03-19",,"swc-instructor,dc-instructor","2018-05-28,2018-05-28",Edinburgh,EDI,55.95,-3.3725
University of Strathclyde,GB,"2015-11-16-manchester-codima,2016-10-17-edinburgh,2017-01-09-dundee,2017-03-23-standrews,2017-05-18-standrews,2016-01-11-dundee,2018-01-11-ireland,2018-09-05-dundee,2018-11-27-standrews,2019-05-30-standrews,2018-03-20-dundee,2021-05-11-strathclyde-online,2021-05-04-strathclyde-online","2015-11-16,2016-10-17,2017-01-09,2017-03-23,2017-05-18,2016-01-11,2018-01-11,2018-09-05,2018-11-27,2019-05-30,2018-03-20,2021-05-11,2021-05-04","Mathematics/statistics,High performance computing,Chemistry,Genetics, genomics, bioinformatics,Organismal biology (ecology, botany, zoology, microbiology)","dc-instructor,swc-instructor","2016-01-27,2015-01-07",Glasgow International Airport,GLA,55.8646,-4.43234
University of Cambridge,GB,"2014-09-15-unimelb,2014-12-08-combine-r,2015-05-27-SWC-MCRI,2015-06-29-qaeco-unimelb,2015-09-28-unimelb-r-psychology","2014-09-15,2014-12-08,2015-05-27,2015-06-29,2015-09-28","Genetics, genomics, bioinformatics","swc-instructor,dc-instructor","2014-10-03,2017-01-16",Stansted,STN,51.885,0.235
University of Lancaster,GB,"2015-04-30-SFU,2016-12-07-uvic","2015-04-30,2016-12-07","Organismal biology (ecology, botany, zoology, microbiology)","swc-instructor,dc-instructor","2014-09-18,2016-11-15",Manchester,MAN,53.353611,-2.274722
The University of Manchester,GB,"2014-05-12-furg,2014-08-18-ufrj,2014-08-28-ufrgs,2014-09-01-ccsl,2014-09-04-ccsl,2014-12-11-ufsc,2015-06-19-labvis,2015-05-30-ufpr,2015-09-10-usp,2016-10-05-nottingham,2017-03-30-manchester,2017-06-21-qmul,2016-05-27-ccsl,2016-05-23-unicamp,2016-05-16-scipyla,2018-05-15-swc-manchester,2018-09-10-labvis,2019-09-03-UWC_Bellville,2019-09-16-Univeristy-of-Botswana-SAIS-UIG,2019-09-10-UWC_Bellville,2019-04-11-TIB","2014-05-12,2014-08-18,2014-08-28,2014-09-01,2014-09-04,2014-12-11,2015-06-19,2015-05-30,2015-09-10,2016-10-05,2017-03-30,2017-06-21,2016-05-27,2016-05-23,2016-05-16,2018-05-15,2018-09-10,2019-09-03,2019-09-16,2019-09-10,2019-04-11",Computer science/electrical engineering,"dc-instructor,swc-instructor","2016-01-27,2013-11-17",Manchester,MAN,53.353611,-2.274722
Owen Stephens Consulting Ltd,GB,,,Library and information science,swc-instructor,2017-06-16,Birmingham,BHX,52.453610999999995,-1.7477779999999998
Imperial College London,GB,"2015-04-16-imperial,2015-07-15-feltham","2015-04-16,2015-07-15","Computer science/electrical engineering,High performance computing",swc-instructor,2014-11-05,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Cambridge,GB,2015-09-10-CAM,2015-09-10,,dc-instructor,2016-01-30,Stansted,STN,51.885,0.235
The University of Manchester,GB,"2013-05-09-oxford,2014-01-14-manchester,2014-11-27-elixiruk-manchester,2016-01-26-london-nhm","2013-05-09,2014-01-14,2014-11-27,2016-01-26",,swc-instructor,2013-11-17,Manchester,MAN,53.353611,-2.274722
,GB,2014-02-28-ethz,2014-02-28,"Mathematics/statistics,High performance computing,Physics,Space sciences",swc-instructor,2015-06-23,London Gatwick,LGW,51.148056,-0.190278
IBM,GB,,,"Psychology/neuroscience,Computer science/electrical engineering",swc-instructor,2015-05-26,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Oxford,GB,,,"Economics/business,Civil, mechanical, chemical, or nuclear engineering",swc-instructor,2017-06-15,London Heathrow,LHR,51.4775,-0.46138900000000005
Media Molecule,GB,"2013-02-06-qmul,2014-05-08-soton","2013-02-06,2014-05-08",,swc-instructor,2013-07-20,London Heathrow,LHR,51.4775,-0.46138900000000005
Northumbria University Newcastle,GB,2015-06-18-StAndrews,2015-06-18,"Planetary sciences (geology, climatology, oceanography, etc.)",swc-instructor,2015-02-03,Newcastle,NCL,55.0375,-1.6916669999999998
University of Hull,GB,2019-07-15-uw,2019-07-15,"High performance computing,Planetary sciences (geology, climatology, oceanography, etc.)",swc-instructor,2019-01-03,Robin Hood Doncaster Sheffield Airport,DSA,53.4805378,-1.0106564
University of Leeds,GB,"2014-11-24-leeds,2015-01-14-leeds,2015-08-26-leeds,2016-01-06-bristol,2016-01-18-leeds,2016-06-29-leeds,2017-01-18-bristol,2017-01-04-bristol,2017-09-26-Exeter","2014-11-24,2015-01-14,2015-08-26,2016-01-06,2016-01-18,2016-06-29,2017-01-18,2017-01-04,2017-09-26","Planetary sciences (geology, climatology, oceanography, etc.)","dc-instructor,swc-instructor","2016-11-18,2014-11-20",Leeds,LBA,53.865832999999995,-1.6605560000000001
University of Edinburgh,GB,"2018-12-06-edinburgh-dc-genomics,2019-02-20-edinburgh-sbs-dc,2019-04-23-Edinburgh-Dc-Genomics,2020-06-25-edinburgh-dc-genomics,2020-12-01-edinburgh-bio-online","2018-12-06,2019-02-20,2019-04-23,2020-06-25,2020-12-01","Genetics, genomics, bioinformatics,Mathematics/statistics",dc-instructor,2018-02-01,Edinburgh,EDI,55.95,-3.3725
University College London,GB,"2013-04-04-ucl,2013-09-27-ucl,2014-05-19-ucl,2014-11-05-uclhep,2015-02-25-ucl,2015-06-18-ucl,2016-11-10-uclhep,2017-04-27-UCL_software_carpentry,2017-11-09-uclhep,2019-09-25-UCL_software_carpentry","2013-04-04,2013-09-27,2014-05-19,2014-11-05,2015-02-25,2015-06-18,2016-11-10,2017-04-27,2017-11-09,2019-09-25",Physics,"swc-instructor,dc-instructor","2012-12-20,2016-11-15",London Heathrow,LHR,51.4775,-0.46138900000000005
University of Bristol,GB,"2013-07-15-bath,2013-09-12-bristol,2013-11-14-exeter","2013-07-15,2013-09-12,2013-11-14","Chemistry,High performance computing",swc-instructor,2013-07-17,Bristol,BRS,51.3825,-2.718889
University of Sheffield,GB,,,"Physics,Mathematics/statistics,Space sciences,High performance computing",swc-instructor,2016-03-01,Manchester,MAN,53.353611,-2.274722
University of Sheffield,GB,,,"Psychology/neuroscience,Physics",swc-instructor,2015-07-11,Manchester,MAN,53.353611,-2.274722
University of Cambridge,GB,"2017-01-18-CAM,2017-06-21-Crick,2017-09-11-cambridge,2018-02-22-KCL,2018-05-02-EMBL,2018-06-28-cambridge,2019-01-29-EMBL,2021-01-25-heidelberg,2022-01-31-heidelberg-online","2017-01-18,2017-06-21,2017-09-11,2018-02-22,2018-05-02,2018-06-28,2019-01-29,2021-01-25,2022-01-31","Genetics, genomics, bioinformatics",dc-instructor,2016-11-11,Stansted,STN,51.885,0.235
University of Leeds,GB,,,,swc-instructor,2016-03-04,Leeds,LBA,53.865832999999995,-1.6605560000000001
