institution,country_code,taught_workshops,taught_workshop_dates,domains,badges,badges_dates,airport,airport_code,airport_latitude,airport_longitude
University College London,GB,"2016-02-17-UCL_software_carpentry,2017-07-25-UCL_software_carpentry,2017-10-31-UCL_software_carpentry,2018-11-07-UCL_software_carpentry,2020-02-18-UCL,2021-03-09-UCL-software-carpentry","2016-02-17,2017-07-25,2017-10-31,2018-11-07,2020-02-18,2021-03-09",,swc-instructor,2017-12-08,London Heathrow,LHR,51.4775,-0.46138900000000005
,GB,"2015-01-14-oxford,2015-09-28-oxford","2015-01-14,2015-09-28",,swc-instructor,2014-11-27,Exeter,EXT,50.734444,-3.4138889999999997
University of Edinburgh,GB,"2013-05-09-oxford,2013-12-03-edinburgh,2014-12-03-edinburgh,2015-04-16-imperial,2015-02-03-CDT-reg-medicine,2015-11-25-edinburgh,2016-02-16-EPCC,2017-03-02-manchester,2016-08-22-edinburgh,2016-08-24-edinburgh,2017-06-21-qmul,2018-11-21-edinburgh-igmm-git,2019-02-20-edinburgh-sbs-dc,2019-03-28-heriotwatt,2019-10-09-edinburgh-igmm-git,2019-06-10-york,2020-04-29-sfc-online,2020-06-04-sfc-online,2020-10-13-ssi-online,2020-09-17-IGMM-swdc,2020-11-17-edinburgh-swc-online,2020-11-25-edinburgh-dc-digital-humanities","2013-05-09,2013-12-03,2014-12-03,2015-04-16,2015-02-03,2015-11-25,2016-02-16,2017-03-02,2016-08-22,2016-08-24,2017-06-21,2018-11-21,2019-02-20,2019-03-28,2019-10-09,2019-06-10,2020-04-29,2020-06-04,2020-10-13,2020-09-17,2020-11-17,2020-11-25",Physics,"dc-instructor,swc-instructor","2016-10-06,2014-12-23",Edinburgh,EDI,55.95,-3.3725
University of Sussex,GB,"2017-05-18-pitt,2017-09-14-padova,2018-05-14-edinburgh,2017-07-12-sussex,2015-11-09-cul,2017-11-07-ukarchives","2017-05-18,2017-09-14,2018-05-14,2017-07-12,2015-11-09,2017-11-07","Humanities,Library and information science",dc-instructor,2017-06-08,London Gatwick,LGW,51.148056,-0.190278
University of Oxford,GB,"2014-08-26-cam,2016-03-23-Imperial,2017-01-26-imperial,2018-01-09-oxford,2019-03-26-WIMM-Python","2014-08-26,2016-03-23,2017-01-26,2018-01-09,2019-05-14","Genetics, genomics, bioinformatics","dc-instructor,swc-instructor","2016-11-15,2014-05-09",London Heathrow,LHR,51.4775,-0.46138900000000005
The University of Manchester,GB,"2015-11-09-manchester,2017-11-06-manchester,2019-10-21-swc-ntnu","2015-11-09,2017-11-06,2019-10-21",,swc-instructor,2018-12-14,Manchester,MAN,53.353611,-2.274722
"EPCC, University of Edinburgh",GB,"2015-11-25-edinburgh,2018-01-09-oxford,2019-06-26-heriotwatt,2019-11-12-edinburgh-sbs,2020-02-12-edinburgh,2020-04-30-ttt-online-BST,2019-12-10-heriotwatt,2020-05-26-sfc-online,2021-04-29-ttt-online-BST,2021-05-12-ITB-onlineteaching","2015-11-25,2018-01-09,2019-06-26,2019-11-12,2020-02-12,2020-04-30,2019-12-10,2020-05-26,2021-04-29,2021-05-12","Computer science/electrical engineering,High performance computing","swc-instructor,dc-instructor","2015-05-26,2016-01-27",Edinburgh,EDI,55.95,-3.3725
University of Edinburgh,GB,"2013-04-04-ucl,2013-09-27-ucl,2014-02-18-UCL","2013-04-04,2013-09-27,2014-02-18",,swc-instructor,2014-07-22,Edinburgh,EDI,55.95,-3.3725
British Trust for Ornithology,GB,,,"Mathematics/statistics,Planetary sciences (geology, climatology, oceanography, etc.),Organismal biology (ecology, botany, zoology, microbiology)",swc-instructor,2017-12-08,Stansted,STN,51.885,0.235
University of Cambridge,GB,2017-01-18-CAM,2017-01-18,"Mathematics/statistics,Genetics, genomics, bioinformatics","dc-instructor,swc-instructor","2016-11-11,2016-11-11",Stansted,STN,51.885,0.235
University of Birmingham,GB,"2013-03-04-lbl,2018-07-26-python","2013-03-04,2018-07-26","Psychology/neuroscience,Medicine",swc-instructor,2016-03-22,Birmingham,BHX,52.453610999999995,-1.7477779999999998
Queen's University Belfast,GB,,,"High performance computing,Mathematics/statistics,Physics",swc-instructor,2021-06-01,Dublin,DUB,53.421110999999996,-6.27
