institution,normalised_institution,latitude,longitude,country,country_code,region,taught_workshops,taught_workshop_dates,taught_workshops_per_year,domains,badges,badges_dates,swc-instructor,dc-instructor,lc-instructor,trainer,earliest_badge_awarded,year_earliest_badge_awarded,airport,airport_code,airport_latitude,airport_longitude
University of Liverpool,UNIVERSITY OF LIVERPOOL,53.406416,-2.9755540000000003,United Kingdom,GB,North West,"2016-01-06-bristol,2016-01-18-leeds,2016-06-29-leeds,2017-01-18-bristol","2016-01-06,2016-01-18,2016-06-29,2017-01-18","{2016: 3, 2017: 1}","['Physics', 'High performance computing', 'Mathematics/statistics', 'Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)']",['swc-instructor'],['2016-02-02'],2016-02-02,,,,2016-02-02,2016,Manchester,MAN,53.353611,-2.274722
University of Southampton,THE UNIVERSITY OF SOUTHAMPTON,50.93418,-1.395675,United Kingdom,GB,South East,"2012-02-20-itcp,2012-05-14-newcastle,2012-10-30-oxford,2013-01-22-tum,2013-01-25-tuebingen,2013-03-07-virginia,2015-09-17-southampton,2015-12-07-eu-instructor-training,2015-12-15-Southampton,2016-05-04-instructor-training-ssi,2016-11-24-ttt-metoffice,2017-03-16-ttt-oxford,2017-02-21-online-instructor-training,2016-08-31-southampton,2016-09-19-ttt-cambridge,2017-07-13-ttt-online,2017-11-08-southampton-swc,2017-08-01-southampton-swc,2017-12-05-ttt-southampton,2018-10-09-ttt-online,2018-09-18-southampton-swc,2019-07-25-ttt-online-BST,2020-04-30-southamton-online,2020-09-08-ttt-ssi-online,2020-05-15-southamton-online,2021-03-16-ttt-online-SSI,2021-06-15-ttt-online-SSI,2021-11-30-ttt-online-SSI","2012-02-20,2012-05-14,2012-10-30,2013-01-22,2013-01-25,2013-03-07,2015-09-17,2015-12-07,2015-12-15,2016-05-04,2016-11-24,2017-03-16,2017-02-21,2016-08-31,2016-09-19,2017-07-13,2017-11-08,2017-08-01,2017-12-05,2018-10-09,2018-09-18,2019-07-25,2020-04-30,2020-09-08,2020-05-15,2021-03-16,2021-06-15,2021-11-30","{2012: 3, 2013: 3, 2015: 3, 2016: 4, 2017: 6, 2018: 2, 2019: 1, 2020: 3, 2021: 3}","['High performance computing', 'Computer science/electrical engineering']","['swc-instructor', 'dc-instructor']","['2012-12-20', '2017-01-16']",2012-12-20,2017-01-16,,,2012-12-20,2012,Southampton,SOU,50.95,-1.356667
University of Sheffield,UNIVERSITY OF SHEFFIELD,53.381409,-1.488709,United Kingdom,GB,Yorkshire and The Humber,,,,"['Physics', 'High performance computing', 'Mathematics/statistics', 'Education']","['swc-instructor', 'dc-instructor']","['2015-09-02', '2017-01-16']",2015-09-02,2017-01-16,,,2015-09-02,2015,Manchester,MAN,53.353611,-2.274722
Earlham Institute,EARLHAM INSTITUTE,52.621740700000004,1.2189869,United Kingdom,GB,Eastern,"2014-02-03-TGAC,2016-03-08-TGAC,2016-10-18-EI,2016-10-17-lincoln,2017-10-10-norwich,2017-04-26-norwich,2018-06-12-ttt-online,2018-10-08-ttt_BiXCoP,2019-09-10-ttt-online-BST,2019-10-22-ttt-colombia,2020-03-23-ttt-online-GMT,2020-03-03-earlham,2020-01-21-earlham,2020-06-30-earlham,2021-01-18-earlham,2021-03-01-earlham,2022-02-28-earlham-online,2022-01-24-earlham-online","2014-02-03,2016-03-08,2016-10-18,2016-10-17,2017-10-10,2017-04-26,2018-06-12,2018-10-08,2019-09-10,2019-10-22,2020-03-23,2020-03-03,2020-01-21,2020-06-30,2021-01-18,2021-03-01,2022-02-28,2022-01-24","{2014: 1, 2016: 3, 2017: 2, 2018: 2, 2019: 2, 2020: 4, 2021: 2, 2022: 2}","['High performance computing', 'Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering']",['swc-instructor'],['2014-11-22'],2014-11-22,,,,2014-11-22,2014,Norwich,NWI,52.675833,1.282778
University of Edinburgh,UNIVERSITY OF EDINBURGH,55.948003,-3.188111,United Kingdom,GB,Scotland,"2015-04-16-imperial,2015-12-14-Portsmouth,2016-02-16-EPCC,2016-03-23-Imperial,2016-06-09-Belfast,2017-05-11-edinburgh,2017-05-09-edinburgh,2016-11-02-EPCC,2017-06-01-Belfast,2017-10-16-Glasgow,2017-12-11-Imperial","2015-04-16,2015-12-14,2016-02-16,2016-03-23,2016-06-09,2017-05-11,2017-05-09,2016-11-02,2017-06-01,2017-10-16,2017-12-11","{2015: 2, 2016: 4, 2017: 5}","['Physics', 'Computer science/electrical engineering', 'High performance computing']","['dc-instructor', 'swc-instructor']","['2016-11-15', '2015-02-03']",2015-02-03,2016-11-15,,,2015-02-03,2015,Edinburgh,EDI,55.95,-3.3725
Arriva Group,ARRIVA GROUP,,,United Kingdom,GB,London,"2012-09-13-dafx,2013-01-25-tuebingen,2013-02-06-qmul","2012-09-13,2013-01-25,2013-02-06","{2012: 1, 2013: 2}",,['swc-instructor'],['2013-07-20'],2013-07-20,,,,2013-07-20,2013,London City,LCY,51.505,0.05416699999999999
Imperial College London,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",51.500506,-0.17819400000000002,United Kingdom,GB,London,"2014-02-13-UNSW,2014-02-18-UTS","2014-02-13,2014-02-18",{2014: 2},"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)']",['swc-instructor'],['2013-07-20'],2013-07-20,,,,2013-07-20,2013,London Heathrow,LHR,51.4775,-0.46138900000000005
King's College London,KING'S COLLEGE LONDON,51.510734,-0.11691199999999999,United Kingdom,GB,London,"2020-11-18-KCL,2021-05-12-KCL-online,2021-06-09-KCL-online,2021-11-16-KCL-online,2021-11-24-KCL-online","2020-11-18,2021-05-12,2021-06-09,2021-11-16,2021-11-24","{2020: 1, 2021: 4}","['High performance computing', 'Genetics', ' genomics', ' bioinformatics', 'Organismal biology (ecology', ' botany', ' zoology', ' microbiology)']",['swc-instructor'],['2019-10-10'],2019-10-10,,,,2019-10-10,2019,,,,
University of Oxford,UNIVERSITY OF OXFORD,51.757644,-1.262868,United Kingdom,GB,South East,"2012-10-30-oxford,2015-01-13-oxford,2015-10-12-cecam-julich,2017-01-09-oxford","2012-10-30,2015-01-13,2015-10-12,2017-01-09","{2012: 1, 2015: 2, 2017: 1}","['Genetics', ' genomics', ' bioinformatics', 'High performance computing']","['dc-instructor', 'swc-instructor']","['2016-10-06', '2014-10-03']",2014-10-03,2016-10-06,,,2014-10-03,2014,London Heathrow,LHR,51.4775,-0.46138900000000005
Wellcome Trust Sanger Institute,WELLCOME TRUST SANGER INSTITUTE,52.0797171,0.1855874,United Kingdom,GB,Eastern,,,,"['High performance computing', 'Computer science/electrical engineering']",['swc-instructor'],['2015-07-15'],2015-07-15,,,,2015-07-15,2015,Stansted,STN,51.885,0.235
Delcam Ltd,DELCAM LTD,,,United Kingdom,GB,West Midlands,,,,"['Physics', 'Mathematics/statistics', 'Education', 'High performance computing']",['swc-instructor'],['2014-10-16'],2014-10-16,,,,2014-10-16,2014,Birmingham,BHX,52.453610999999995,-1.7477779999999998
Imperial College London,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",51.500506,-0.17819400000000002,United Kingdom,GB,London,2014-06-02-icl-geo,2014-06-02,{2014: 1},,['swc-instructor'],['2014-11-27'],2014-11-27,,,,2014-11-27,2014,London Heathrow,LHR,51.4775,-0.46138900000000005
The Sir Alister Hardy Foundation for Ocean Science (SAHFOS),THE SIR ALISTER HARDY FOUNDATION FOR OCEAN SCIENCE,50.364335,-4.138946,United Kingdom,GB,South West,2020-01-09-kcl,2020-01-09,{2020: 1},,['swc-instructor'],['2017-12-22'],2017-12-22,,,,2017-12-22,2017,Exeter,EXT,50.734444,-3.4138889999999997
University of Southampton,THE UNIVERSITY OF SOUTHAMPTON,50.93418,-1.395675,United Kingdom,GB,South East,2016-02-05-nyas-R,2016-02-05,{2016: 1},"['Mathematics/statistics', 'Organismal biology (ecology', ' botany', ' zoology', ' microbiology)']","['dc-instructor', 'swc-instructor']","['2017-01-16', '2015-05-14']",2015-05-14,2017-01-16,,,2015-05-14,2015,Southampton,SOU,50.95,-1.356667
University of Edinburgh,UNIVERSITY OF EDINBURGH,55.948003,-3.188111,United Kingdom,GB,Scotland,"2014-12-03-edinburgh,2014-12-11-ugsupa","2014-12-03,2014-12-11",{2014: 2},,"['swc-instructor', 'dc-instructor']","['2014-11-20', '2017-01-16']",2014-11-20,2017-01-16,,,2014-11-20,2014,Edinburgh,EDI,55.95,-3.3725
University of Exeter,UNIVERSITY OF EXETER,50.735199,-3.5343699999999996,United Kingdom,GB,South West,2017-09-26-Exeter,2017-09-26,{2017: 1},"['Genetics', ' genomics', ' bioinformatics', 'Mathematics/statistics']","['dc-instructor', 'swc-instructor']","['2016-11-11', '2016-11-24']",2016-11-24,2016-11-11,,,2016-11-11,2016,Bristol,BRS,51.3825,-2.718889
Thales,THALES,53.3911872,-2.1851898,United Kingdom,GB,South East,,,,['Computer science/electrical engineering'],['swc-instructor'],['2014-12-23'],2014-12-23,,,,2014-12-23,2014,Manchester,MAN,53.353611,-2.274722
University of Southampton,THE UNIVERSITY OF SOUTHAMPTON,50.93418,-1.395675,United Kingdom,GB,South East,"2015-11-11-london-royal-h-,2015-12-15-Southampton","2015-11-11,2015-12-15",{2015: 2},['Space sciences'],['swc-instructor'],['2014-12-23'],2014-12-23,,,,2014-12-23,2014,Southampton,SOU,50.95,-1.356667
University of Oxford,UNIVERSITY OF OXFORD,51.757644,-1.262868,United Kingdom,GB,South East,,,,"['Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2015-06-12'],2015-06-12,,,,2015-06-12,2015,London Heathrow,LHR,51.4775,-0.46138900000000005
University College London,UNIVERSITY COLLEGE LONDON,51.524774,-0.133401,United Kingdom,GB,London,"2013-04-04-ucl,2013-09-27-ucl,2013-10-24-greenwich,2014-02-18-UCL,2014-05-19-ucl,2015-02-25-ucl,2017-09-25-UCL_software_carpentry","2013-04-04,2013-09-27,2013-10-24,2014-02-18,2014-05-19,2015-02-25,2017-09-25","{2013: 3, 2014: 2, 2015: 1, 2017: 1}","['Genetics', ' genomics', ' bioinformatics', 'Mathematics/statistics', 'High performance computing', 'Physics', 'Computer science/electrical engineering']","['swc-instructor', 'dc-instructor']","['2013-11-17', '2016-12-01']",2013-11-17,2016-12-01,,,2013-11-17,2013,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Edinburgh,UNIVERSITY OF EDINBURGH,55.948003,-3.188111,United Kingdom,GB,Scotland,"2012-05-14-newcastle,2012-10-22-newcastle,2012-10-30-oxford,2012-12-04-edinburgh,2013-04-11-egi,2013-04-18-manchester,2013-07-15-bath,2013-12-03-edinburgh,2014-07-21-cranfield,2014-09-16-imperial,2014-12-03-edinburgh,2016-03-10-CDT-reg-medicine,2017-05-11-edinburgh,2017-05-09-edinburgh,2018-03-08-manchester-swc,2019-06-19-edinburgh-git","2012-05-14,2012-10-22,2012-10-30,2012-12-04,2013-04-11,2013-04-18,2013-07-15,2013-12-03,2014-07-21,2014-09-16,2014-12-03,2016-03-10,2017-05-11,2017-05-09,2018-03-08,2019-06-19","{2012: 4, 2013: 4, 2014: 3, 2016: 1, 2017: 2, 2018: 1, 2019: 1}","['High performance computing', 'Computer science/electrical engineering']","['swc-instructor', 'dc-instructor']","['2012-12-20', '2017-02-16']",2012-12-20,2017-02-16,,,2012-12-20,2012,Edinburgh,EDI,55.95,-3.3725
,,,,United Kingdom,GB,South East,2014-06-02-icl-geo,2014-06-02,{2014: 1},"['Mathematics/statistics', 'High performance computing', 'Computer science/electrical engineering', 'Physics', 'Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)']",['swc-instructor'],['2014-10-03'],2014-10-03,,,,2014-10-03,2014,Southampton,SOU,50.95,-1.356667
University of Birmingham,UNIVERSITY OF BIRMINGHAM,52.448986,-1.930855,United Kingdom,GB,West Midlands,"2019-02-18-bham,2019-06-03-bham","2019-02-18,2019-06-03",{2019: 2},"['Mathematics/statistics', 'Chemistry', 'Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2018-04-12'],2018-04-12,,,,2018-04-12,2018,Birmingham,BHX,52.453610999999995,-1.7477779999999998
Climate Code Foundation,CLIMATE CODE FOUNDATION,53.314384200000006,-1.5290013999999998,United Kingdom,GB,Yorkshire and The Humber,2013-04-18-manchester,2013-04-18,{2013: 1},"['Computer science/electrical engineering', 'Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2013-07-20'],2013-07-20,,,,2013-07-20,2013,Manchester,MAN,53.353611,-2.274722
University of Edinburgh,UNIVERSITY OF EDINBURGH,55.948003,-3.188111,United Kingdom,GB,Scotland,2013-12-16-dundee,2013-12-16,{2013: 1},"['Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2015-02-06'],2015-02-06,,,,2015-02-06,2015,Edinburgh,EDI,55.95,-3.3725
Kew Royal Botanic Gardens,KEW ROYAL BOTANIC GARDENS,51.4787438,-0.295573,United Kingdom,GB,London,2016-05-16-royalholloway,2016-05-16,{2016: 1},,['swc-instructor'],['2014-12-23'],2014-12-23,,,,2014-12-23,2014,London Heathrow,LHR,51.4775,-0.46138900000000005
University of St Andrews,UNIVERSITY OF ST ANDREWS,56.341205,-2.793016,United Kingdom,GB,Scotland,"2015-11-16-manchester-codima,2016-10-17-edinburgh,2017-03-23-standrews,2017-05-18-standrews,2018-03-20-ttt-online,2018-05-24-ttt-online,2017-12-04-standrews,2018-03-29-standrews,2018-11-05-ttt-online,2018-11-27-standrews,2018-12-10-standrews,2019-05-13-ttt-online-BST,2019-05-02-standrews,2019-05-30-standrews,2019-09-23-standrews,2020-04-30-ttt-online-BST,2020-02-20-lancaster,2020-05-28-ttt-edinburgh,2020-11-06-standrews,2021-05-07-standrews-online,2021-05-21-standrews-online,2021-11-29-standrews","2015-11-16,2016-10-17,2017-03-23,2017-05-18,2018-03-20,2018-05-24,2017-12-04,2018-03-29,2018-11-05,2018-11-27,2018-12-10,2019-05-13,2019-05-02,2019-05-30,2019-09-23,2020-04-30,2020-02-20,2020-05-28,2020-11-06,2021-05-07,2021-05-21,2021-11-29","{2015: 1, 2016: 1, 2017: 3, 2018: 6, 2019: 4, 2020: 4, 2021: 3}","['Mathematics/statistics', 'Computer science/electrical engineering']","['dc-instructor', 'swc-instructor']","['2016-12-06', '2016-12-06']",2016-12-06,2016-12-06,,,2016-12-06,2016,RAF Leuchars Airport,ADX,56.3728981,-2.8684399
University College London,UNIVERSITY COLLEGE LONDON,51.524774,-0.133401,United Kingdom,GB,London,"2014-11-17-liverpool,2015-01-13-oxford,2015-06-02-cern-lhcb,2015-11-11-london-royal-h-,2015-11-16-manchester-codima,2017-06-05-ghana,2018-01-25-swansea,2018-11-05-ttt-online","2014-11-17,2015-01-13,2015-06-02,2015-11-11,2015-11-16,2017-06-05,2018-01-25,2018-11-05","{2014: 1, 2015: 4, 2017: 1, 2018: 2}",['Physics'],"['dc-instructor', 'swc-instructor']","['2017-01-16', '2015-07-05']",2015-07-05,2017-01-16,,,2015-07-05,2015,London Gatwick,LGW,51.148056,-0.190278
University of Leeds,UNIVERSITY OF LEEDS,53.808493999999996,-1.552797,United Kingdom,GB,Yorkshire and The Humber,2015-09-10-leeds,2015-09-10,{2015: 1},"['Medicine', 'Space sciences', 'Physics', 'Civil', ' mechanical', ' chemical', ' or nuclear engineering', 'Computer science/electrical engineering', 'Social sciences', 'Psychology/neuroscience', 'High performance computing']",['swc-instructor'],['2016-04-25'],2016-04-25,,,,2016-04-25,2016,Leeds,LBA,53.865832999999995,-1.6605560000000001
Lancaster University,LANCASTER UNIVERSITY,,,United Kingdom,GB,,2021-07-13-manchester-online,2021-07-13,{2021: 1},"['Physics', 'High performance computing']",['swc-instructor'],['2021-11-24'],2021-11-24,,,,2021-11-24,2021,,,,
BBC,BBC,51.510025,-0.226846,United Kingdom,GB,London,"2014-11-05-UCL,2016-02-17-UCL_software_carpentry","2014-11-05,2016-02-17","{2014: 1, 2016: 1}","['High performance computing', 'Mathematics/statistics', 'Computer science/electrical engineering']","['dc-instructor', 'swc-instructor']","['2016-11-15', '2014-11-11']",2014-11-11,2016-11-15,,,2014-11-11,2014,London Heathrow,LHR,51.4775,-0.46138900000000005
The Sainsbury Laboratory,THE SAINSBURY LABORATORY,52.62461999999999,1.222558,United Kingdom,GB,Eastern,,,,,"['dc-instructor', 'swc-instructor']","['2016-12-01', '2014-11-09']",2014-11-09,2016-12-01,,,2014-11-09,2014,London Heathrow,LHR,51.4775,-0.46138900000000005
