institution,normalised_institution,latitude,longitude,country,country_code,region,taught_workshops,taught_workshop_dates,taught_workshops_per_year,domains,badges,badges_dates,swc-instructor,dc-instructor,lc-instructor,trainer,earliest_badge_awarded,year_earliest_badge_awarded,airport,airport_code,airport_latitude,airport_longitude
University College London,UNIVERSITY COLLEGE LONDON,51.524774,-0.133401,United Kingdom,GB,London,"2016-02-17-UCL_software_carpentry,2017-07-25-UCL_software_carpentry,2017-10-31-UCL_software_carpentry,2018-11-07-UCL_software_carpentry,2020-02-18-UCL,2021-03-09-UCL-software-carpentry","2016-02-17,2017-07-25,2017-10-31,2018-11-07,2020-02-18,2021-03-09","{2016: 1, 2017: 2, 2018: 1, 2020: 1, 2021: 1}",,['swc-instructor'],['2017-12-08'],2017-12-08,,,,2017-12-08,2017,London Heathrow,LHR,51.4775,-0.46138900000000005
,,,,United Kingdom,GB,South West,"2015-01-14-oxford,2015-09-28-oxford","2015-01-14,2015-09-28",{2015: 2},,['swc-instructor'],['2014-11-27'],2014-11-27,,,,2014-11-27,2014,Exeter,EXT,50.734444,-3.4138889999999997
University of Edinburgh,UNIVERSITY OF EDINBURGH,55.948003,-3.188111,United Kingdom,GB,Scotland,"2013-05-09-oxford,2013-12-03-edinburgh,2014-12-03-edinburgh,2015-04-16-imperial,2015-02-03-CDT-reg-medicine,2015-11-25-edinburgh,2016-02-16-EPCC,2017-03-02-manchester,2016-08-22-edinburgh,2016-08-24-edinburgh,2017-06-21-qmul,2018-11-21-edinburgh-igmm-git,2019-02-20-edinburgh-sbs-dc,2019-03-28-heriotwatt,2019-10-09-edinburgh-igmm-git,2019-06-10-york,2020-04-29-sfc-online,2020-06-04-sfc-online,2020-10-13-ssi-online,2020-09-17-IGMM-swdc,2020-11-17-edinburgh-swc-online,2020-11-25-edinburgh-dc-digital-humanities","2013-05-09,2013-12-03,2014-12-03,2015-04-16,2015-02-03,2015-11-25,2016-02-16,2017-03-02,2016-08-22,2016-08-24,2017-06-21,2018-11-21,2019-02-20,2019-03-28,2019-10-09,2019-06-10,2020-04-29,2020-06-04,2020-10-13,2020-09-17,2020-11-17,2020-11-25","{2013: 2, 2014: 1, 2015: 3, 2016: 3, 2017: 2, 2018: 1, 2019: 4, 2020: 6}",['Physics'],"['dc-instructor', 'swc-instructor']","['2016-10-06', '2014-12-23']",2014-12-23,2016-10-06,,,2014-12-23,2014,Edinburgh,EDI,55.95,-3.3725
University of Sussex,UNIVERSITY OF SUSSEX,50.864464,-0.087049,United Kingdom,GB,South East,"2017-05-18-pitt,2017-09-14-padova,2018-05-14-edinburgh,2017-07-12-sussex,2015-11-09-cul,2017-11-07-ukarchives","2017-05-18,2017-09-14,2018-05-14,2017-07-12,2015-11-09,2017-11-07","{2017: 4, 2018: 1, 2015: 1}","['Humanities', 'Library and information science']",['dc-instructor'],['2017-06-08'],,2017-06-08,,,2017-06-08,2017,London Gatwick,LGW,51.148056,-0.190278
University of Oxford,UNIVERSITY OF OXFORD,51.757644,-1.262868,United Kingdom,GB,South East,"2014-08-26-cam,2016-03-23-Imperial,2017-01-26-imperial,2018-01-09-oxford,2019-03-26-WIMM-Python","2014-08-26,2016-03-23,2017-01-26,2018-01-09,2019-05-14","{2014: 1, 2016: 1, 2017: 1, 2018: 1, 2019: 1}","['Genetics', ' genomics', ' bioinformatics']","['dc-instructor', 'swc-instructor']","['2016-11-15', '2014-05-09']",2014-05-09,2016-11-15,,,2014-05-09,2014,London Heathrow,LHR,51.4775,-0.46138900000000005
The University of Manchester,THE UNIVERSITY OF MANCHESTER,53.467943000000005,-2.233222,United Kingdom,GB,North West,"2015-11-09-manchester,2017-11-06-manchester,2019-10-21-swc-ntnu","2015-11-09,2017-11-06,2019-10-21","{2015: 1, 2017: 1, 2019: 1}",,['swc-instructor'],['2018-12-14'],2018-12-14,,,,2018-12-14,2018,Manchester,MAN,53.353611,-2.274722
"EPCC, University of Edinburgh",UNIVERSITY OF EDINBURGH,55.948003,-3.188111,United Kingdom,GB,Scotland,"2015-11-25-edinburgh,2018-01-09-oxford,2019-06-26-heriotwatt,2019-11-12-edinburgh-sbs,2020-02-12-edinburgh,2020-04-30-ttt-online-BST,2019-12-10-heriotwatt,2020-05-26-sfc-online,2021-04-29-ttt-online-BST,2021-05-12-ITB-onlineteaching","2015-11-25,2018-01-09,2019-06-26,2019-11-12,2020-02-12,2020-04-30,2019-12-10,2020-05-26,2021-04-29,2021-05-12","{2015: 1, 2018: 1, 2019: 3, 2020: 3, 2021: 2}","['Computer science/electrical engineering', 'High performance computing']","['dc-instructor', 'swc-instructor']","['2016-01-27', '2015-05-26']",2015-05-26,2016-01-27,,,2015-05-26,2015,Edinburgh,EDI,55.95,-3.3725
University of Edinburgh,UNIVERSITY OF EDINBURGH,55.948003,-3.188111,United Kingdom,GB,Scotland,"2013-04-04-ucl,2013-09-27-ucl,2014-02-18-UCL","2013-04-04,2013-09-27,2014-02-18","{2013: 2, 2014: 1}",,['swc-instructor'],['2014-07-22'],2014-07-22,,,,2014-07-22,2014,Edinburgh,EDI,55.95,-3.3725
British Trust for Ornithology,BRITISH TRUST FOR ORNITHOLOGY,,,United Kingdom,GB,Eastern,,,,"['Mathematics/statistics', 'Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Organismal biology (ecology', ' botany', ' zoology', ' microbiology)']",['swc-instructor'],['2017-12-08'],2017-12-08,,,,2017-12-08,2017,Stansted,STN,51.885,0.235
University of Cambridge,UNIVERSITY OF CAMBRIDGE,52.205317,0.11664200000000001,United Kingdom,GB,Eastern,2017-01-18-CAM,2017-01-18,{2017: 1},"['Mathematics/statistics', 'Genetics', ' genomics', ' bioinformatics']","['swc-instructor', 'dc-instructor']","['2016-11-11', '2016-11-11']",2016-11-11,2016-11-11,,,2016-11-11,2016,Stansted,STN,51.885,0.235
University of Birmingham,UNIVERSITY OF BIRMINGHAM,52.448986,-1.930855,United Kingdom,GB,West Midlands,"2013-03-04-lbl,2018-07-26-python","2013-03-04,2018-07-26","{2013: 1, 2018: 1}","['Psychology/neuroscience', 'Medicine']",['swc-instructor'],['2016-03-22'],2016-03-22,,,,2016-03-22,2016,Birmingham,BHX,52.453610999999995,-1.7477779999999998
Queen's University Belfast,QUEEN'S UNIVERSITY BELFAST,,,United Kingdom,GB,,,,,"['Physics', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2021-06-01'],2021-06-01,,,,2021-06-01,2021,Dublin,DUB,53.421110999999996,-6.27
University of Leeds,UNIVERSITY OF LEEDS,53.808493999999996,-1.552797,United Kingdom,GB,Yorkshire and The Humber,"2014-11-24-leeds,2015-01-14-leeds,2015-08-26-leeds,2015-09-10-leeds,2015-10-29-Leeds-DC,2016-01-19-london-nhm,2016-01-11-huddersfield,2016-04-18-leeds,2016-09-27-milan,2016-06-27-leeds,2016-01-06-bristol,2016-01-18-leeds,2017-01-18-bristol,2017-03-30-manchester,2016-06-16-leeds,2016-06-23-leeds,2016-08-22-edinburgh,2016-08-24-edinburgh,2017-01-04-bristol,2017-05-08-leeds,2017-04-20-leeds,2017-07-13-ttt-online,2016-11-21-leeds,2017-10-30-imperial-ttt,2017-07-03-ngb-leeds,2018-04-18-ttt-leeds,2018-08-21-ttt,2017-07-19-imperial,2017-07-17-imperial,2019-09-25-ttt-leeds,2019-10-31-ttt-Imperial","2014-11-24,2015-01-14,2015-08-26,2015-09-10,2015-10-29,2016-01-19,2016-01-11,2016-04-18,2016-09-27,2016-06-27,2016-01-06,2016-01-18,2017-01-18,2017-03-30,2016-06-16,2016-06-23,2016-08-22,2016-08-24,2017-01-04,2017-05-08,2017-04-20,2017-07-13,2016-11-21,2017-10-30,2017-07-03,2018-04-18,2018-08-21,2017-07-19,2017-07-17,2019-09-25,2019-10-31","{2014: 1, 2015: 4, 2016: 12, 2017: 10, 2018: 2, 2019: 2}","['Library and information science', 'Education', 'High performance computing', 'Computer science/electrical engineering', 'Humanities', 'Social sciences', 'Genetics', ' genomics', ' bioinformatics']","['swc-instructor', 'dc-instructor']","['2015-08-03', '2016-01-30']",2015-08-03,2016-01-30,,,2015-08-03,2015,Leeds,LBA,53.865832999999995,-1.6605560000000001
Queen Mary University of London,QUEEN MARY UNIVERSITY OF LONDON,51.523412,-0.040505,United Kingdom,GB,London,"2012-04-30-ucl,2012-05-14-newcastle,2012-09-13-dafx,2013-02-06-qmul","2012-04-30,2012-05-14,2012-09-13,2013-02-06","{2012: 3, 2013: 1}",,['swc-instructor'],['2012-12-20'],2012-12-20,,,,2012-12-20,2012,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Southampton,THE UNIVERSITY OF SOUTHAMPTON,50.93418,-1.395675,United Kingdom,GB,South East,"2018-09-18-southampton-swc,2019-07-09-rslondon,2019-11-14-Imperial,2020-11-25-rslondon","2018-09-18,2019-07-09,2019-11-14,2020-11-25","{2018: 1, 2019: 2, 2020: 1}",,['swc-instructor'],['2017-12-05'],2017-12-05,,,,2017-12-05,2017,Southampton,SOU,50.95,-1.356667
University College London,UNIVERSITY COLLEGE LONDON,51.524774,-0.133401,United Kingdom,GB,London,2017-10-31-UCL_software_carpentry,2017-10-31,{2017: 1},['Physics'],['swc-instructor'],['2017-07-14'],2017-07-14,,,,2017-07-14,2017,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Edinburgh,UNIVERSITY OF EDINBURGH,55.948003,-3.188111,United Kingdom,GB,Scotland,2012-05-14-newcastle,2012-05-14,{2012: 1},['Computer science/electrical engineering'],"['dc-instructor', 'swc-instructor']","['2017-01-16', '2012-12-20']",2012-12-20,2017-01-16,,,2012-12-20,2012,Edinburgh,EDI,55.95,-3.3725
The James Hutton Institute,THE JAMES HUTTON INSTITUTE,57.133131000000006,-2.158366,United Kingdom,GB,Scotland,"2018-11-27-standrews,2019-09-23-standrews","2018-11-27,2019-09-23","{2018: 1, 2019: 1}","['Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2019-08-15'],2019-08-15,,,,2019-08-15,2019,Edinburgh,EDI,55.95,-3.3725
Wellcome Trust Sanger Institute,WELLCOME TRUST SANGER INSTITUTE,52.0797171,0.1855874,United Kingdom,GB,Eastern,,,,['High performance computing'],['swc-instructor'],['2015-06-12'],2015-06-12,,,,2015-06-12,2015,Stansted,STN,51.885,0.235
University College London,UNIVERSITY COLLEGE LONDON,51.524774,-0.133401,United Kingdom,GB,London,"2016-12-13-UCL_software_carpentry,2017-04-27-UCL_software_carpentry,2017-10-31-UCL_software_carpentry","2016-12-13,2017-04-27,2017-10-31","{2016: 1, 2017: 2}","['Psychology/neuroscience', 'Mathematics/statistics', 'High performance computing', 'Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Genetics', ' genomics', ' bioinformatics', 'Medicine', 'Computer science/electrical engineering']",['swc-instructor'],['2017-06-08'],2017-06-08,,,,2017-06-08,2017,London Heathrow,LHR,51.4775,-0.46138900000000005
