slug,humandate,start,end,tags,address,url
2016-09-19-ttt-cambridge,"Sep 19-20, 2016",2016-09-19,2016-09-20,"[""TTT""]",University of Cambridge,	https://swcarpentry.github.io/2016-09-19-ttt-cambridge
2016-12-05-oxford,"Dec 05-06, 2016",2016-12-05,2016-12-06,"[""DC""]","University of Oxford, South Parks Road, Oxford OX1 3PL, UK",https://anenadic.github.io/2016-12-05-oxford/
2016-11-07-manchester,"Nov 07-08, 2016",2016-11-07,2016-11-08,"[""SWC""]","PC 1, Stopford Building, Oxford Road, Manchester, M13 9PT",https://anenadic.github.io/2016-11-07-manchester/
2016-11-02-EPCC,"Nov 02-03, 2016",2016-11-02,2016-11-03,"[""DC""]","JCMB, Peter Guthrie Tait Road, Edinburgh, EH9 3FD",https://hpcarcher.github.io/2016-11-02-EPCC/
2016-10-18-EI,"Oct 18-19, 2016",2016-10-18,2016-10-19,"[""DC""]","Norwich Research Park, Norwich, NR4 7UG",https://tgac.github.io/2016-10-18-EI/
2016-10-17-edinburgh,"Oct 17-18, 2016",2016-10-17,2016-10-18,"[""SWC""]","15 South College Street, Edinburgh, EH8 9AA",https://widdowquinn.github.io/2016-10-17-edinburgh/
2016-10-05-nottingham,"Oct 05-06, 2016",2016-10-05,2016-10-06,"[""SWC""]","Room B09, Sutton Bonington Campus, University of Nottingham, Loughborough, LE12 5RD, UK",https://anenadic.github.io/2016-10-05-nottingham/
2016-09-22-UCL_software_carpentry,"Sep 22-23, 2016",2016-09-22,2016-09-23,"[""SWC""]","Christopher Ingold Building, Cluster Room G20, 20 Gordon Street, London WC1H 0AJ",http://rits.github-pages.ucl.ac.uk/2016-09-22-UCL_software_carpentry/
2016-09-14-leeds,"Sep 14-16, 2016",2016-09-14,2016-09-16,"[""SWC""]","University of Leeds, Leeds, West Yorkshire, LS29JT",https://arcleeds.github.io/2016-09-14-leeds/
2016-08-31-southampton,"Aug 31-Sep 01, 2016",2016-08-31,2016-09-01,"[""SWC""]","Room 3077, Building 32",https://southampton-rsg.github.io/2016-08-31-southampton/
2016-08-24-edinburgh,"Aug 24-25, 2016",2016-08-24,2016-08-25,"[""SWC""]","Main Library at 30 George Square, Edinburgh EH8 9LJ",https://rgaiacs.github.io/2016-08-24-edinburgh/
2016-08-22-edinburgh,"Aug 22-23, 2016",2016-08-22,2016-08-23,"[""DC""]","Main Library at 30 George Square, Edinburgh EH8 9LJ",https://rgaiacs.github.io/2016-08-22-edinburgh/
2016-07-12-Oxford,"Jul 12-13, 2016",2016-07-12,2016-07-13,"[""SWC""]","Herbertson Room, School of Geography and the Environment",https://jules32.github.io/2016-07-12-Oxford/
2016-06-29-leeds,"Jun 29, 2016-???",2016-06-29,,"[""SWC""]","School of Earth and Environment, The University of Leeds, Leeds, LS2 9JT",https://arcleeds.github.io/2016-06-29-leeds/
2016-06-27-leeds,"Jun 27-28, 2016",2016-06-27,2016-06-28,"[""SWC""]","EC Stoner Building, The University of Leeds, Leeds, LS2 9JT",https://arcleeds.github.io/2016-06-27-leeds/
2016-06-23-leeds,"Jun 23-24, 2016",2016-06-23,2016-06-24,"[""SWC""]","School of Mechanical Engineering (5th floor cluster, room 5.34), Woodhouse Lane, Leeds, LS2 9JT",https://arcleeds.github.io/2016-06-23-leeds/
2016-06-22-UCL_software_carpentry,"Jun 22-23, 2016",2016-06-22,2016-06-23,"[""SWC""]","ISD training room B07; 1-19 Torrington Place, WC1E 7HB",https://ucl-rits.github.io/2016-06-22-UCL_software_carpentry/
2016-06-16-leeds,"Jun 16-17, 2016",2016-06-16,2016-06-17,"[""SWC""]","Liberty Building, Western Campus, University of Leeds, LS2 9JT",https://arcleeds.github.io/2016-06-16-leeds/
2016-06-09-Belfast,"Jun 09-10, 2016",2016-06-09,2016-06-10,"[""SWC""]","Teaching Room 1, Medical Biology Centre (Teaching Centre), Queen's University Belfast",https://hpcarcher.github.io/2016-06-09-Belfast/
2016-05-16-CAM,"May 16-16, 2016",2016-05-16,2016-05-16,"[""DC""]","Bioinformatics Training Room, Craik-Marshall Building, Downing Site",https://lgatto.github.io/2016-05-16-CAM/
2016-05-16-royalholloway,"May 16, 2016-???",2016-05-16,,"[""SWC""]","Room 103, McCrea Building, Egham, Surrey, TW20 0EX",https://jttkim.github.io/2016-05-16-royalholloway/
